,Home,Score,Away,Year
0,Germany ,5–1, Scotland,2024
1,Hungary ,1–3,  Switzerland,2024
2,Germany ,2–0, Hungary,2024
3,Scotland ,1–1,  Switzerland,2024
4,Switzerland ,1–1, Germany,2024
5,Scotland ,0–1, Hungary,2024
6,Spain ,3–0, Croatia,2024
7,Italy ,2–1, Albania,2024
8,Croatia ,2–2, Albania,2024
9,Spain ,1–0, Italy,2024
10,Albania ,0–1, Spain,2024
11,Croatia ,1–1, Italy,2024
12,Slovenia ,1–1, Denmark,2024
13,Serbia ,0–1, England,2024
14,Slovenia ,1–1, Serbia,2024
15,Denmark ,1–1, England,2024
16,England ,0–0, Slovenia,2024
17,Denmark ,0–0, Serbia,2024
18,Poland ,1–2, Netherlands,2024
19,Austria ,0–1, France,2024
20,Poland ,1–3, Austria,2024
21,Netherlands ,0–0, France,2024
22,Netherlands ,2–3, Austria,2024
23,France ,1–1, Poland,2024
24,Romania ,3–0, Ukraine,2024
25,Belgium ,0–1, Slovakia,2024
26,Slovakia ,1–2, Ukraine,2024
27,Belgium ,2–0, Romania,2024
28,Slovakia ,1–1, Romania,2024
29,Ukraine ,0–0, Belgium,2024
30,Turkey ,3–1, Georgia,2024
31,Portugal ,2–1, Czech Republic,2024
32,Georgia ,1–1, Czech Republic,2024
33,Turkey ,0–3, Portugal,2024
34,Georgia ,2–0, Portugal,2024
35,Czech Republic ,1–2, Turkey,2024
36,Switzerland ,2–0, Italy,2024
37,Germany ,2–0, Denmark,2024
38,England ,2–1 (a.e.t.), Slovakia,2024
39,Spain ,4–1, Georgia,2024
40,France ,1–0, Belgium,2024
41,Portugal ,0–0 (a.e.t.), Slovenia,2024
42,Romania ,0–3, Netherlands,2024
43,Austria ,1–2, Turkey,2024
44,Spain ,2–1 (a.e.t.), Germany,2024
45,Portugal ,0–0 (a.e.t.), France,2024
46,England ,1–1 (a.e.t.),  Switzerland,2024
47,Netherlands ,2–1, Turkey,2024
48,Spain ,2–1, France,2024
49,Netherlands ,1–2, England,2024
50,Spain ,2–1, England,2024
